country,year,ch4,gdp,pop,ch4_intensity,gdp_per_capita
China,2005,41234.45077,1.38004797320084,51.1280072445766,29878.998100596542,0.02699201567937558
Aruba,2005,2.902831763,0.135698044213944,47.9030032898228,21.39184672715948,0.0028327669435033865
Australia,2005,5021.554255,0.373490636073977,49.6605384022954,13444.926779919015,0.0075208736773726475
China,2006,42854.22276,1.35978460568449,51.1355887991833,31515.449271046855,0.026591746328072152
Aruba,2006,1.902108174,0.147732603890345,47.8525677984758,12.87534453404643,0.0030872450672344187
Australia,2006,5014.979887,0.36916139256275,49.6795910358922,13584.789709957427,0.007430846044929005
China,2007,43474.55874,1.29431903973798,51.143877670084,33588.75007262578,0.02530740918956711
Aruba,2007,1.928475898,0.154757376932012,47.8035346371665,12.4612857637618,0.003237362636604921
Australia,2007,4950.467369,0.365263678592093,49.7119360574165,13553.133418799129,0.007347605174142066
China,2008,44060.26566,1.21631287838271,51.152200318907,36224.450503710395,0.023778310039443865
Aruba,2008,1.795641538,0.150773378840472,47.7562496804867,11.909539680077772,0.0031571444543744883
Australia,2008,4853.982529,0.355683901184324,49.7531958524868,13646.899713025101,0.007148965912438889
China,2009,44827.02876,1.19308296540098,51.1589857523126,37572.432144259314,0.02332108324385707
Aruba,2009,1.662936543,0.185281359564151,47.7111840444332,8.97519613906024,0.0038833947066079797
Australia,2009,4857.414489,0.354014281813389,49.7820709910122,13720.956296222199,0.007111280723481829
China,2010,46642.9961,1.18080550972293,51.1647868659273,39500.99801866993,0.023078479986970806
Aruba,2010,1.290068091,0.186433689034534,47.7205985176898,6.919715517515907,0.003906776000837959
Australia,2010,4750.68971,0.350595728354591,49.784507258086,13550.335402818064,0.007042265710034666
China,2011,49753.57938,1.17940683852303,51.1683856821848,42185.25597350814,0.023049522137526843
Aruba,2011,1.512328736,0.108595255677073,47.7114280055457,13.92628735547319,0.0022760847917704437
Australia,2011,4959.361407,0.340370242279155,49.7747019265095,14570.490574591931,0.006838217590568379
China,2012,50010.69221,1.12809715458083,51.169956181113,44331.90173995484,0.0220460840456458
Aruba,2012,0.812114611,0.141711114117627,47.6351915725755,5.730775712665036,0.002974924828458396
Australia,2012,5043.404519,0.327833816450871,49.7650206251845,15384.027717457273,0.0065876354984361184
China,2013,50224.38004,1.0965825098719,51.1700055787927,45800.821723727,0.021430181557892506
Aruba,2013,0.711142092,0.146412888855735,47.5618436576733,4.857100338350059,0.0030783686584889935
Australia,2013,5058.483958,0.313461677524814,49.7431321919081,16137.487676143646,0.006301607150822038
China,2014,50496.82771,1.0318822483914,51.1675657606977,48936.61829023557,0.020166725406038345
Aruba,2014,0.732122177,0.154250634173586,47.4940264866068,4.746315507371633,0.0032477902082503852
Australia,2014,5038.044312,0.298511900747079,49.7037922324501,16877.197523420004,0.006005817410289866
China,2015,50663.80705,0.952936184356233,51.1621091162848,53166.001964996765,0.01862581900582584
Aruba,2015,0.730526499,0.156096713875454,47.4343469246717,4.6799607811274635,0.0032907950461159297
Australia,2015,5035.312414,0.295275556905715,49.6596250493047,17052.92665185908,0.005945988448614942
China,2016,49245.70468,0.894444935344965,51.1535504888395,55057.27936287902,0.0174854907782034
Aruba,2016,0.739652045,0.161828109033063,47.3794010059442,4.570603026998741,0.003415579462745004
Australia,2016,4643.487607,0.293081912349965,49.6262139968641,15843.651250150424,0.005905788266831819
China,2017,49765.10236,0.854309443011614,51.1389212775297,58251.846291863425,0.01670566022257875
Aruba,2017,0.743319654,0.150470469013857,47.3262082663388,4.939970340170515,0.003179432169318337
Australia,2017,4953.775519,0.28833305397935,49.6177536253127,17180.740989046586,0.005811086413881013
China,2018,50592.07622,0.838659800727931,51.1205880648438,60324.90907050467,0.016405519429161002
Aruba,2018,0.748818878,0.145225300512332,47.2686785929044,5.156256350362401,0.0030723367954299465
Australia,2018,4967.786091,0.278938966038956,49.6246233783398,17809.58093286332,0.005620979002950127
China,2019,50456.11162,0.810263287437438,51.1038802798097,62271.25479123453,0.015855220445120676
Aruba,2019,0.755529938,0.157096009216444,47.2038552056483,4.80935156639813,0.0033280334526076226
Australia,2019,4942.836524,0.272057333137275,49.6254559070906,18168.36351000301,0.005482213274707726
China,2020,50632.05821,0.801860230901059,51.0797629696404,63143.246489608566,0.0156981979610526
Aruba,2020,0.762670464,0.19800090480734,47.1554934823091,3.8518534283573,0.00419889370644848
Australia,2020,4633.321742,0.262161080960125,49.6187760380746,17673.56819338387,0.005283505597940539
China,2021,51268.16187,0.774846489474757,51.0498023542242,66165.57287980101,0.015178246609031994
Aruba,2021,0.776666859,0.179182657596361,47.1680395693486,4.334497933106743,0.003798815028827274
Australia,2021,4637.233927,0.251889164722103,49.6191828016941,18409.81898572745,0.0050764472629223345
China,2022,50899.3681,0.749313334177565,51.017494273383,67928.01592923257,0.014687380179086901
Aruba,2022,0.791498753,0.170925488035463,47.207325898573,4.630665456024808,0.003620740738475716
Australia,2022,4716.711934,0.237424737096607,49.6182547953161,19866.135229543466,0.0047850279715807255
China,2023,51437.11832,0.739359083766105,50.979261215049,69569.87402926403,0.014503134532437033
Aruba,2023,0.801706448,0.159169330372848,47.230380122106,5.036814856995589,0.00337006244627596
Australia,2023,5047.768816,0.228865040707239,49.614736613282,22055.65690767528,0.004612844012276208
China,2024,51294.2745,0.709900826296661,50.9415122711914,72255.54978937945,0.0139356056513879
Aruba,2024,0.807087994,0.154263775167547,47.2387244831862,5.231869848403592,0.003265621094880631
Australia,2024,5060.616579,0.229297343959205,49.6183741336916,22070.10553031242,0.004621218408756944
