country,year,gdp,pop
China,2005,1.38004797320084,51.1280072445766
Aruba,2005,0.135698044213944,47.9030032898228
Australia,2005,0.373490636073977,49.6605384022954
China,2006,1.35978460568449,51.1355887991833
Aruba,2006,0.147732603890345,47.8525677984758
Australia,2006,0.36916139256275,49.6795910358922
China,2007,1.29431903973798,51.143877670084
Aruba,2007,0.154757376932012,47.8035346371665
Australia,2007,0.365263678592093,49.7119360574165
China,2008,1.21631287838271,51.152200318907
Aruba,2008,0.150773378840472,47.7562496804867
Australia,2008,0.355683901184324,49.7531958524868
China,2009,1.19308296540098,51.1589857523126
Aruba,2009,0.185281359564151,47.7111840444332
Australia,2009,0.354014281813389,49.7820709910122
China,2010,1.18080550972293,51.1647868659273
Aruba,2010,0.186433689034534,47.7205985176898
Australia,2010,0.350595728354591,49.784507258086
China,2011,1.17940683852303,51.1683856821848
Aruba,2011,0.108595255677073,47.7114280055457
Australia,2011,0.340370242279155,49.7747019265095
China,2012,1.12809715458083,51.169956181113
Aruba,2012,0.141711114117627,47.6351915725755
Australia,2012,0.327833816450871,49.7650206251845
China,2013,1.0965825098719,51.1700055787927
Aruba,2013,0.146412888855735,47.5618436576733
Australia,2013,0.313461677524814,49.7431321919081
China,2014,1.0318822483914,51.1675657606977
Aruba,2014,0.154250634173586,47.4940264866068
Australia,2014,0.298511900747079,49.7037922324501
China,2015,0.952936184356233,51.1621091162848
Aruba,2015,0.156096713875454,47.4343469246717
Australia,2015,0.295275556905715,49.6596250493047
China,2016,0.894444935344965,51.1535504888395
Aruba,2016,0.161828109033063,47.3794010059442
Australia,2016,0.293081912349965,49.6262139968641
China,2017,0.854309443011614,51.1389212775297
Aruba,2017,0.150470469013857,47.3262082663388
Australia,2017,0.28833305397935,49.6177536253127
China,2018,0.838659800727931,51.1205880648438
Aruba,2018,0.145225300512332,47.2686785929044
Australia,2018,0.278938966038956,49.6246233783398
China,2019,0.810263287437438,51.1038802798097
Aruba,2019,0.157096009216444,47.2038552056483
Australia,2019,0.272057333137275,49.6254559070906
China,2020,0.801860230901059,51.0797629696404
Aruba,2020,0.19800090480734,47.1554934823091
Australia,2020,0.262161080960125,49.6187760380746
China,2021,0.774846489474757,51.0498023542242
Aruba,2021,0.179182657596361,47.1680395693486
Australia,2021,0.251889164722103,49.6191828016941
China,2022,0.749313334177565,51.017494273383
Aruba,2022,0.170925488035463,47.207325898573
Australia,2022,0.237424737096607,49.6182547953161
China,2023,0.739359083766105,50.979261215049
Aruba,2023,0.159169330372848,47.230380122106
Australia,2023,0.228865040707239,49.614736613282
China,2024,0.709900826296661,50.9415122711914
Aruba,2024,0.154263775167547,47.2387244831862
Australia,2024,0.229297343959205,49.6183741336916
