country,year,ch4
China,2005,41234.45077
Aruba,2005,2.902831763
Australia,2005,5021.554255
China,2006,42854.22276
Aruba,2006,1.902108174
Australia,2006,5014.979887
China,2007,43474.55874
Aruba,2007,1.928475898
Australia,2007,4950.467369
China,2008,44060.26566
Aruba,2008,1.795641538
Australia,2008,4853.982529
China,2009,44827.02876
Aruba,2009,1.662936543
Australia,2009,4857.414489
China,2010,46642.9961
Aruba,2010,1.290068091
Australia,2010,4750.68971
China,2011,49753.57938
Aruba,2011,1.512328736
Australia,2011,4959.361407
China,2012,50010.69221
Aruba,2012,0.812114611
Australia,2012,5043.404519
China,2013,50224.38004
Aruba,2013,0.711142092
Australia,2013,5058.483958
China,2014,50496.82771
Aruba,2014,0.732122177
Australia,2014,5038.044312
China,2015,50663.80705
Aruba,2015,0.730526499
Australia,2015,5035.312414
China,2016,49245.70468
Aruba,2016,0.739652045
Australia,2016,4643.487607
China,2017,49765.10236
Aruba,2017,0.743319654
Australia,2017,4953.775519
China,2018,50592.07622
Aruba,2018,0.748818878
Australia,2018,4967.786091
China,2019,50456.11162
Aruba,2019,0.755529938
Australia,2019,4942.836524
China,2020,50632.05821
Aruba,2020,0.762670464
Australia,2020,4633.321742
China,2021,51268.16187
Aruba,2021,0.776666859
Australia,2021,4637.233927
China,2022,50899.3681
Aruba,2022,0.791498753
Australia,2022,4716.711934
China,2023,51437.11832
Aruba,2023,0.801706448
Australia,2023,5047.768816
China,2024,51294.2745
Aruba,2024,0.807087994
Australia,2024,5060.616579
